datetime,open,high,low,close,volume,date,bb_bbm,bb_bbh,bb_bbl,bb_vm,bb_vh,bb_vl,rsi
1644575400000,43387.5,43427.77,42934.11,43162.02,8297.169,2022-02-11 10:30:00,44212.3875000001,45880.97225907898,42543.80274092121,9202.30311000001,17801.703025453986,602.9031945460321,37.74298464434818
1644577200000,43162.02,43188.55,42800.0,42960.02,5993.13,2022-02-11 11:00:00,44089.746500000096,45747.901941678094,42431.59105832211,9222.04196000001,17811.782135959562,632.3017840404555,35.62220100305166
1644579000000,42960.03,43130.84,42930.96,43104.41,3962.121,2022-02-11 11:30:00,43976.6095000001,45578.516241659636,42374.70275834056,9204.138680000013,17802.952708401404,605.3246515986192,38.29137228385172
1644580800000,43104.4,43277.0,43062.26,43193.89,5625.37,2022-02-11 12:00:00,43855.497000000105,45301.992824190136,42409.00117581007,9224.973790000013,17812.559616885697,637.3879631143245,39.95289370406221
1644582600000,43193.89,43385.0,43117.0,43310.87,5192.151,2022-02-11 12:30:00,43755.3180000001,45053.70999928968,42456.92600071052,9213.395250000009,17805.628860223842,621.1616397761754,42.146019901814704
1644584400000,43310.87,43345.14,43028.0,43071.07,4435.39,2022-02-11 13:00:00,43662.057000000095,44872.730952589816,42451.3830474104,9131.67916000001,17730.10510728044,533.2532127195808,39.001360985202176
1644586200000,43071.06,43155.98,42950.0,43068.0,4401.096,2022-02-11 13:30:00,43555.5070000001,44564.69568219939,42546.31831780081,9107.22075000001,17715.583791833546,498.8577081664717,38.961281319533136
1644588000000,43067.7,43070.0,42850.0,42941.12,3674.891,2022-02-11 14:00:00,43474.7090000001,44405.95177787874,42543.46622212147,9096.891420000009,17711.1448822819,482.63795771811783,37.2571861051575
1644589800000,42941.13,43050.0,42789.68,42826.0,3974.199,2022-02-11 14:30:00,43398.222500000105,44277.27735919269,42519.16764080753,9108.41971000001,17715.035066592616,501.80435340740036,35.73018893323477
1644591600000,42826.0,43174.83,42777.0,43129.18,5286.146,2022-02-11 15:00:00,43346.249500000114,44157.23706035726,42535.261939642936,9123.408720000009,17722.045355311042,524.7720846889753,42.42304279646565
1644593400000,43129.19,43251.47,43058.5,43214.64,4021.329,2022-02-11 15:30:00,43303.10800000011,44042.556169339274,42563.65983066095,9136.57817000001,17726.377465841117,546.7788741589011,44.187388508038644
1644595200000,43214.63,43326.0,43135.51,43175.05,4083.088,2022-02-11 16:00:00,43257.49800000011,43904.61973644467,42610.376263555554,9120.04798000001,17717.961929491117,522.1340305088997,43.522036484958136
1644597000000,43175.05,43399.0,43162.82,43330.46,4258.465,2022-02-11 16:30:00,43237.938500000106,43850.485249633166,42625.39175036705,9088.15162000001,17698.116935188424,478.1863048115956,46.901981263704215
1644598800000,43329.87,43538.26,43266.98,43410.0,6501.441,2022-02-11 17:00:00,43209.63800000012,43728.27175460832,42691.00424539189,9116.99675000001,17713.40521671089,520.5882832891257,48.59751335793405
1644600600000,43407.59,43420.85,42947.9,42966.27,6815.178000000001,2022-02-11 17:30:00,43161.20050000012,43568.8841927007,42753.516807299515,9145.92019000001,17729.660190139854,562.1801898601661,40.77510211290589
1644602400000,42966.44,43607.1,42811.42,43427.91,15105.524,2022-02-11 18:00:00,43151.980500000114,43525.33394510808,42778.62705489213,9253.31311000001,17843.759765123366,662.8664548766537,49.82393415010537
1644604200000,43427.9,43589.0,43242.62,43470.01,7511.188,2022-02-11 18:30:00,43151.91650000012,43525.05135471887,42778.78164528135,9261.33236000001,17849.774448965647,672.8902710343664,50.56572205598462
1644606000000,43470.02,43486.16,43238.13,43291.77,5051.043,2022-02-11 19:00:00,43172.65800000011,43528.042532160696,42817.27346783953,9188.142470000008,17780.965404632734,595.31953536728,47.372582061039154
1644607800000,43291.77,43548.45,43212.25,43420.43,5628.096,2022-02-11 19:30:00,43193.03050000012,43556.09632148984,42829.9646785104,9175.734000000008,17772.7918957392,578.6761042608159,49.83512892244311
1644609600000,43420.44,43499.89,43312.0,43382.37,3706.937,2022-02-11 20:00:00,43192.774500000116,43555.29831771973,42830.2506822805,9168.601550000009,17769.89669950358,567.3064004964382,49.103161393979065
1644611400000,43382.38,43486.81,43304.52,43332.95,3205.12,2022-02-11 20:30:00,43201.32100000011,43568.570253329526,42834.0717466707,9143.872890000008,17758.71205826317,529.0337217368451,48.11493873673577
1644613200000,43332.94,43677.0,43226.21,43599.86,8937.874,2022-02-11 21:00:00,43233.31300000011,43621.7708409546,42844.85515904562,9172.382350000009,17781.773521305528,562.9911786944849,53.55194320482174
1644615000000,43595.86,43640.0,43410.21,43549.55,5680.138000000001,2022-02-11 21:30:00,43255.57000000011,43662.50484657267,42848.635153427545,9190.678250000008,17790.679418494656,590.6770815053587,52.43655596719653
1644616800000,43549.54,43748.13,43476.69,43681.01,6159.799,2022-02-11 22:00:00,43279.92600000012,43725.64122820198,42834.210771798236,9196.06754000001,17793.99857220338,598.1365077966367,55.06992414025959
1644618600000,43681.02,43800.0,43600.54,43729.28,6795.2,2022-02-11 22:30:00,43300.846500000116,43787.7794446712,42813.91355532903,9198.047630000008,17795.402698305257,600.6925616947574,56.032507480592976
1644620400000,43729.27,43777.0,43400.0,43573.62,9118.087,2022-02-11 23:00:00,43325.97400000012,43814.747726842164,42837.20027315807,9224.926930000009,17817.786955938554,632.066904061463,52.15226576003418
1644622200000,43573.61,43900.0,43262.0,43493.4,24216.116,2022-02-11 23:30:00,43347.244000000115,43826.186878234126,42868.3011217661,9315.483400000008,18017.442596169065,613.5242038309534,50.22206019984873
1644624000000,43493.4,43741.0,43487.0,43600.84,8613.445,2022-02-12 00:00:00,43380.23000000011,43832.898555783584,42927.56144421663,9293.301720000009,17994.195002552915,592.4084374470984,52.74466519337153
1644625800000,43600.83,43788.7,43568.0,43648.87,5632.829000000002,2022-02-12 00:30:00,43421.37350000012,43810.13690152618,43032.610098474055,9261.569130000009,17969.964722206147,553.1735377938677,53.87011460620485
1644627600000,43648.86,43746.52,43444.0,43549.44,9996.638,2022-02-12 01:00:00,43442.38650000011,43810.59241397506,43074.18058602516,9283.854530000008,17991.251147449857,576.457912550155,51.15402269371669
1644629400000,43549.43,43614.49,43411.01,43564.79,6987.621,2022-02-12 01:30:00,43459.89400000011,43816.225832104865,43103.56216789536,9255.80342000001,17966.033400330787,545.5734396692296,51.56006912826378
1644631200000,43560.01,43700.0,43373.41,43499.96,8195.12,2022-02-12 02:00:00,43476.139500000114,43807.81787658523,43144.461123414985,9266.84223000001,17975.021233489675,558.6632265103435,49.68163861383922
1644633000000,43499.95,43581.0,43353.63,43404.71,3834.484,2022-02-12 02:30:00,43479.85200000012,43806.54963730277,43153.154362697445,9238.778650000013,17959.88754621308,517.6697537869422,46.973869520579214
1644634800000,43404.71,43495.95,43303.53,43333.19,3924.034,2022-02-12 03:00:00,43476.011500000095,43807.67162200174,43144.351377998464,9155.02820000001,17886.553666168933,423.5027338310847,44.99102436048096
1644636600000,43334.1,43351.16,42567.0,42652.95,25112.81600000001,2022-02-12 03:30:00,43460.3455000001,43899.13418432792,43021.55681567228,9345.76792000001,18214.395728211704,477.1401117883143,31.41027908995464
1644638400000,42652.95,42774.0,42046.11,42430.0,30934.38,2022-02-12 04:00:00,43410.4500000001,44038.69296522543,42782.20703477477,9600.30907000001,18716.175928983,484.4422110170217,28.38593676732654
1644640200000,42430.0,43160.0,42430.0,42725.35,20502.479,2022-02-12 04:30:00,43373.2170000001,44067.700233403964,42678.73376659623,9757.70609000001,18924.42909745162,590.9830825484023,37.03506074448271
